Date,Nom,Temps,État,Description
"14/01/2026","Feat(email): champ email pour les users","[?]","[?]","Feat(email): champ email pour les users"
"14/01/2026","Fix(myButton): class name","[1]","[DONE]","Fix(myButton): class name"
"14/01/2026","Fix(email): send email to owner","[15]","[DONE]","Fix(email): send email to owner"
"14/01/2026","Chor(images): Delet old images and edit seeder of work whis new image","[5]","[DONE]","Chor(images): Delet old images and edit seeder of work whis new image"
"14/01/2026","Fix(MobileUrl): edit url on header mobile","[?]","[?]","Fix(MobileUrl): edit url on header mobile"
"14/01/2026","Feat(SMTP): add SMTP on .env","[?]","[?]","Feat(SMTP): add SMTP on .env"
"14/01/2026","Update README.md","[?]","[?]","Update README.md"
"14/01/2026","Merge pull request #31 from BlackAngelTVdev/Réservation","[?]","[?]","Merge pull request #31 from BlackAngelTVdev/Réservation Réservation"
"14/01/2026","Chor(email) : en edge","[?]","[?]","Chor(email) : en edge"

"19/01/2026","Update deploy.yml","[?]","[?]","Update deploy.yml"

"20/01/2026","Feat(autoCSV) : git log jnr","[?]","[?]","Feat(autoCSV) : git log jnr"
"20/01/2026","Merge branch 'Réservation' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete into Réservation","[?]","[?]","Merge branch 'Réservation' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete into Réservation"
"20/01/2026","Merge pull request #32 from BlackAngelTVdev/Réservation","[?]","[?]","Merge pull request #32 from BlackAngelTVdev/Réservation Réservation"
"20/01/2026","Fix(name): on git log","[?]","[?]","Fix(name): on git log"
"20/01/2026","Fix(getcommit)","[?]","[?]","Fix(getcommit)"
"20/01/2026","Fix(getcommit) : add name","[?]","[?]","Fix(getcommit) : add name"
"20/01/2026","Fix(get_commit): add all barnche tracker","[?]","[?]","Fix(get_commit): add all barnche tracker"
"20/01/2026","fix(CSS) : mettre un max sur les page pour pas que les box soient étirées","[10min]","[DONE]","fix(CSS) : mettre un max sur les page pour pas que les box soient étirées"
"20/01/2026","Merge branch 'main' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete","[?]","[?]","Merge branch 'main' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete"
"20/01/2026","Update .gitignore","[?]","[?]","Update .gitignore"
"20/01/2026","Update get_commit.sh","[?]","[?]","Update get_commit.sh"
"20/01/2026","Update get_commit.sh","[?]","[?]","Update get_commit.sh"
"20/01/2026","Feat(temps) : add reservation temps","[?]","[?]","Feat(temps) : add reservation temps"
"20/01/2026","fix(CSS) : alignement dans édit et ajout","[20min]","[DONE]","fix(CSS) : alignement dans édit et ajout"
"20/01/2026","fix(css) : label pour filter_categorie","[5min]","[DONE]","fix(css) : label pour filter_categorie"
"20/01/2026","Feat(date): ajoute une date de debut et de fin","[?]","[?]","Feat(date): ajoute une date de debut et de fin"
"20/01/2026","Fix(date) : page édite","[10]","[DONE]","Fix(date) : page édite"
"20/01/2026","Feat(affiche) : du au dans le detail","[?]","[?]","Feat(affiche) : du au dans le detail"
"20/01/2026","Merge branch 'main' into Réservation","[?]","[?]","Merge branch 'main' into Réservation"
"20/01/2026","Merge pull request #33 from BlackAngelTVdev/Réservation","[?]","[?]","Merge pull request #33 from BlackAngelTVdev/Réservation Réservation"
"20/01/2026","Fix(seeder): add date for item","[?]","[?]","Fix(seeder): add date for item"
"20/01/2026","fix(CSS) : amelioré la nav en mobile","[20min]","[DONE]","fix(CSS) : amelioré la nav en mobile"
"20/01/2026","Merge branch 'main' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete","[?]","[?]","Merge branch 'main' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete"
"20/01/2026","Fix(username) : correcte username on email","[?]","[?]","Fix(username) : correcte username on email"
"20/01/2026","Merge branch 'main' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete","[?]","[?]","Merge branch 'main' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete"
"20/01/2026","fix(css) : mise d'un CSS cohérant avec le site","[20min]","[DONE]","fix(css) : mise d'un CSS cohérant avec le site"
"20/01/2026","Merge branch 'main' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete","[?]","[?]","Merge branch 'main' of https://github.com/BlackAngelTVdev/Je-donne-ou-je-prete"
"20/01/2026","fix(css) : mise de la même couleur sur tout le site","[15min]","[DONE]","fix(css) : mise de la même couleur sur tout le site"
"20/01/2026","Fix(controlleur): rend invisible l'object une fois réservé","[?]","[?]","Fix(controlleur): rend invisible l'object une fois réservé"
